"doi","keyword","countries","title"
"10.1128/jb.147.3.1085-1094.1981","Glucanases","Australia","Isolation, Properties, Function, and Regulation of Endo-(1 → 3)-β-Glucanases in Schizosaccharomyces pombe (1981)"
"10.3390/microorganisms11040818","Lyticase","Romania","Candida spp. DNA Extraction in the Age of Molecular Diagnosis. (2023)"
"10.1128/spectrum.02589-21","Lyticase","Belgium","Hydrolytic Enzymes as Potentiators of Antimicrobials against an Inter-Kingdom Biofilm Model. (2022)"
"10.1177/0300985817698207","Lyticase","USA","Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues. (2017)"
"10.1002/etc.5445","Lyticase","Switzerland","Evaluation of Three ISO Estrogen Receptor Transactivation Assays Applied to 52 Domestic Effluent Samples. (2022)"
"10.4049/jimmunol.2000447","Lyticase","USA,China","Distinct Responses of Thitarodes xiaojinensis β-1,3-Glucan Recognition Protein-1 and Immulectin-8 to Ophiocordyceps sinensis and Cordyceps militaris Infection. (2021)"
"10.1128/AAC.04650-14","Lyticase","Belgium","Fungal β-1,3-glucan increases ofloxacin tolerance of Escherichia coli in a polymicrobial E. coli/Candida albicans biofilm. (2015)"
"10.1128/jb.173.10.3101-3108.1991","Lyticase","USA","The phosphoinositol sphingolipids of Saccharomyces cerevisiae are highly localized in the plasma membrane. (1991)"
"10.1128/jb.173.23.7429-7435.1991","Lyticase","USA","The yeast heat shock response is induced by conversion of cells to spheroplasts and by potent transcriptional inhibitors. (1991)"
"10.1155/2013/268249","Lyticase","India,Canada,Australia","Constitutive optimized production of streptokinase in Saccharomyces cerevisiae utilizing glyceraldehyde 3-phosphate dehydrogenase promoter of Pichia pastoris. (2013)"
"10.1128/iai.58.11.3469-3476.1990","Lyticase","USA","Partial biochemical characterization of cell surface hydrophobicity and hydrophilicity of Candida albicans. (1990)"
"10.1128/iai.63.4.1253-1257.1995","Lyticase","Italy","Differential susceptibility of yeast and hyphal forms of Candida albicans to proteolytic activity of macrophages. (1995)"
"10.14202/vetworld.2020.1030-1036","Lyticase","Russia","Effects of farnesol and lyticase on the formation of Candida albicans biofilm. (2020)"
"10.1128/jb.142.2.414-423.1980","Lyticase","USA","Lyticase: endoglucanase and protease activities that act together in yeast cell lysis. (1980)"
"10.2144/01305st05","Lyticase","France","Streamlined beta-galactosidase assay for analysis of recombinant yeast response to estrogens. (2001)"
"10.1590/s0100-879x2004001000003","Lyticase","Brasil","Respiration, oxidative phosphorylation, and uncoupling protein in Candida albicans. (2004)"
"10.1099/jmm.0.46569-0","Lyticase","UK","Biofilm matrix of Candida albicans and Candida tropicalis: chemical composition and role in drug resistance. (2006)"
"10.1099/jmm.0.47617-0","Lyticase","Ireland","Improving molecular detection of Candida DNA in whole blood: comparison of seven fungal DNA extraction protocols using real-time PCR. (2008)"
"10.1039/c8sc01130c","Lyticase","China,UK,The Netherlands,Mexico","A bilayered nanoshell for durable protection of single yeast cells against multiple, simultaneous hostile stimuli. (2018)"
"10.4049/jimmunol.2000447","Lyticase","USA,China","Distinct Responses of Thitarodes xiaojinensis β-1,3-Glucan Recognition Protein-1 and Immulectin-8 to Ophiocordyceps sinensis and Cordyceps militaris Infection. (2021)"
"10.1021/ja1100189","Lyticase","Korea","Mussel-inspired encapsulation and functionalization of individual yeast cells. (2011)"
"10.1139/w11-064","Lyticase","UK,Austria","Detection of Aspergillus in lung and other tissue samples using the MycAssay Aspergillus real-time PCR kit. (2011)"
"10.4155/tde.10.114","Lyticase","Israel,India","Curdlan complexes as a potential food-grade delivery system: genistein case study. (2011)"
"10.1021/es405731j","Lyticase","China,Germany","Heterocyclic aromatic hydrocarbons show estrogenic activity upon metabolization in a recombinant transactivation assay. (2014)"
"10.1002/jobm.201700545","Lyticase","Hungary","Autolytic enzymes are responsible for increased melanization of carbon stressed Aspergillus nidulans cultures. (2018)"
"10.1039/c8cc01311j","Lyticase","China","Decorating an individual living cell with a shell of controllable thickness by cytocompatible surface initiated graft polymerization. (2018)"
"10.1002/cpps.101","Lyticase","Turkey","Isolation of High-Quality RNA from Pichia pastoris. (2019)"
"10.1002/yea.3514","Lyticase","Turkey","Genomic, transcriptomic and physiological analyses of silver-resistant Saccharomyces cerevisiae obtained by evolutionary engineering. (2020)"
"10.1021/acsnano.1c03896","Lyticase","China","A Versatile Strategy to Coat Individual Cell with Fully/Partially Covered Shell for Preparation of Self-Propelling Living Cells. (2021)"
"10.1002/adma.202206437","Lyticase","China","Visualized Gallium/Lyticase-Integrated Antifungal Strategy for Fungal Keratitis Treatment. (2022)"
"10.1021/acs.biomac.3c01143","Lyticase","China","Yolk-Shell Encapsulation of Cells by Biomimetic Mineralization and Visible Light-Induced Surface Graft Polymerization. (2023)"